city,city_name,event_name,url,fee,date,join_cnt
beijing,北京,北京户外活动——逃离城市的雾霾与市井，探索郊外秘境！,https://www.douban.com/event/32737881/,20元(优惠价),2019-09-01T07:30:00,179
beijing,北京,易经实用课！,https://www.douban.com/event/31205766/,30元(茶水+场地费),2019-08-02T14:00:00,86
beijing,北京,此心安处是吾乡，周末离开北京去山里一座清净寺院感受宁静义工旅行,https://www.douban.com/event/32655080/,460.00元(包车往返吃住保险共),2019-08-09T19:30:00,82
beijing,北京,白日梦·Floral CHINA 2019第四届北京国际花植设计节,https://www.douban.com/event/32546833/,99元(单人票),2019-09-06T10:30:00,93
beijing,北京,宠魅·配音 这一次的沙龙，需要你自己上来体验一把配音演员的感觉~,https://www.douban.com/event/32459138/,98元(单人)起,2019-08-11T13:00:00,106
beijing,北京,一生必去一次的西北，荒凉的黄土高坡，金黄的胡杨林，无法拒绝的美景,https://www.douban.com/event/32287680/,免费,2019-08-31T07:30:00,10
beijing,北京,方块王朝——乐高中国文化艺术大展,https://www.douban.com/event/32623259/,49元(早鸟票),2019-08-25T10:00:00,96
beijing,北京,Ulike English Club 自信说英语 打开你的社交圈,https://www.douban.com/event/32198621/,免费,2019-07-17T18:30:00,81
beijing,北京,北京设计周-751设计节首推—虚无·瞬息城 多媒体光影艺术展,https://www.douban.com/event/32561050/,29元(限时早鸟票),2019-10-06T11:00:00,73
beijing,北京,周末去山里体验寺院生活 抄经体验禅文化分享感悟,https://www.douban.com/event/32662189/,0.00元(乘坐往返包车食宿保险aa),2019-08-09T19:30:00,47
beijing,北京,【国庆】塞上秋色、阿斯哈图石林、大青山、达达线、黄岗梁勃隆克沙漠,https://www.douban.com/event/32713781/,100元(预付款),2019-08-24T08:00:00,55
beijing,北京,一起来做蛋糕吧,https://www.douban.com/event/32099604/,98元(8寸奶油)起,2019-06-29T14:00:00,196
beijing,北京,“和而不同” 末匠美术馆开幕展,https://www.douban.com/event/32573048/,58元(正常票),2019-08-30T10:00:00,92
beijing,北京,【英语体验课】专注成人口语提升 3-8人精品小班课  免费体验ING,https://www.douban.com/event/32327240/,免费,2019-09-03T10:30:00,75
beijing,北京,2019年度博洛尼亚插画展中国巡展?北京站早鸟票,https://www.douban.com/event/32320516/,65元(成人早鸟票)起,2019-08-04T10:00:00,106
beijing,北京,WAVELENGTH：制造之外·北京站,https://www.douban.com/event/32596602/,88元(成人票),2019-08-30T10:00:00,75
beijing,北京,【太昊琴社】免费古琴公益课，共22课时，你还在等什么？,https://www.douban.com/event/31882193/,免费,2019-06-29T10:00:00,109
beijing,北京,梦回仙剑，密室传说~,https://www.douban.com/event/32099648/,免费,2019-06-29T14:00:00,195
beijing,北京,国庆7天@大西北环线 青海湖-茶卡盐湖-月牙泉-敦煌莫高窟,https://www.douban.com/event/32638566/,1000元(预付款),2019-08-03T07:00:00,103
beijing,北京,周六日@狼人杀+唱歌+饮料+零食 畅玩一下午,https://www.douban.com/event/32748340/,35元(活动费用),2019-08-31T11:00:00,103
beijing,北京,周日@室内攀岩 来一场岩壁上的舞蹈,https://www.douban.com/event/32750913/,98元(活动费用),2019-09-01T12:30:00,104
beijing,北京,伍德吃托克—伙伴节,https://www.douban.com/event/32554216/,30元(早鸟单人票),2019-09-13T11:00:00,65
beijing,北京,周末一日行@红螺寺｜千年古刹-秋高气爽-登高赏景-祈福纳祥 休闲行摄,https://www.douban.com/event/32747899/,免费,2019-08-31T07:30:00,106
beijing,北京,周六@室内保龄球 领队教学 打卡京城最眩酷保龄球场馆,https://www.douban.com/event/32749898/,88元(活动费用),2019-08-31T12:30:00,102
beijing,北京,花开敦煌——常书鸿、常沙娜父女艺术作品展,https://www.douban.com/event/32539020/,免费,2019-07-16T08:00:00,64
beijing,北京,周六日@蹦床特惠89元 网红蜘蛛+魔鬼滑梯 火山攀岩+汽车小镇+淘气堡,https://www.douban.com/event/32750026/,89元(活动费用),2019-08-31T16:30:00,101
beijing,北京,「日本郷土玩具」展,https://www.douban.com/event/32041204/,免费,2019-03-24T10:00:00,192
beijing,北京,还没玩过配音？赶紧别让自己out啦~ 配音交友，用声音，展现自己吧~,https://www.douban.com/event/32473458/,98元(单人)起,2019-08-11T13:00:00,64
beijing,北京,周末一日@四季花海『2019四季花海赏花季』百花齐放-争齐斗艳,https://www.douban.com/event/32749888/,免费,2019-08-31T07:30:00,102
beijing,北京,周六@射箭活动 瞄准射击 零基础射箭 免费教学,https://www.douban.com/event/32750774/,115元(活动费用),2019-08-31T10:30:00,102
beijing,北京,周末1日@东灵山｜登顶北京最高峰-腾云驾雾赏旷世之美,https://www.douban.com/event/32750890/,免费,2019-08-31T07:30:00,101
beijing,北京,美林谷★勃隆克沙漠★玉龙沙湖★贡格尔大草原-青山景区-三日游,https://www.douban.com/event/32169565/,230元(预付款),2019-08-31T09:00:00,66
beijing,北京,周末一日游@神堂峪｜全球最美篱笆书屋-徒步最美神堂峪山水栈道,https://www.douban.com/event/32748336/,免费,2019-08-31T07:30:00,102
beijing,北京,【舞蹈体验课】芭蕾形体&Lady Sway,https://www.douban.com/event/31913558/,30.0元(人均),2019-07-02T19:00:00,166
beijing,北京,隐形于色—抽象艺术群展,https://www.douban.com/event/32572688/,120元(票价),2019-07-20T10:00:00,75
beijing,北京,蹦床 | 百人蹦床嗨翻天！燃脂+交友+欢笑一站配齐！,https://www.douban.com/event/32209835/,89元(报名费),2019-08-31T17:00:00,29
beijing,北京,#免票# Pinkmoon樂暮 周六蓝调/民谣弹唱会,https://www.douban.com/event/32398225/,免费,2019-07-27T20:30:00,66
beijing,北京,咖啡聊天会，体验不同的故事,https://www.douban.com/event/32664166/,免费,2019-08-11T12:00:00,97
beijing,北京,夏日好梦计划 Garden of Curiosity,https://www.douban.com/event/32385715/,58元(早鸟票),2019-06-22T10:00:00,93
beijing,北京,中秋国庆越野车穿越·乌兰布统·影视基地·百草敖包将军泡子·公主湖,https://www.douban.com/event/32446354/,99元(预付款),2019-08-17T07:30:00,27
beijing,北京,清静典雅的日式花道体验课-北京夏木花舍,https://www.douban.com/event/31622238/,150元(体验价),2019-08-03T14:00:00,15
beijing,北京,自宅影院【下期待定】,https://www.douban.com/event/32209577/,8元(电费),2019-08-18T20:30:00,28
beijing,北京,国庆【梦幻喀纳斯】赤道以北48°，遇见最美的秋天，看尽天堂的颜色！,https://www.douban.com/event/32446361/,360元(预付款),2019-08-17T07:30:00,25
beijing,北京,清凉翠鸟谷 水战“湿身” 诱惑 ，户外冰爽特供一夏降温，休闲徒步戏,https://www.douban.com/event/32450230/,免费,2019-07-06T07:00:00,156
beijing,北京,"青春有限，快乐无限，,转角遇见，幸福每一天！",https://www.douban.com/event/32753660/,免费,2019-09-05T18:00:00,85
beijing,北京,不是所有的相遇都是上天安排，而是你的主动，加入我们遇见未知的自己,https://www.douban.com/event/32754393/,免费,2019-09-01T18:00:00,85
beijing,北京,雅尼2019北京音乐会,https://www.douban.com/event/32601752/,388 - 3443元,2019-11-09T19:30:00,46
beijing,北京,【十一国庆最美秋景】【呼伦贝尔】【阿尔山】【莫尔道嘎】【满洲里】,https://www.douban.com/event/32686306/,100元(预付款),2019-08-11T07:30:00,56
beijing,北京,【国庆十一】畅游长白山，探秘中朝边境,https://www.douban.com/event/32686289/,100元(预付款),2019-08-17T07:30:00,56
beijing,北京,空余时间公益！给孩子一个新的希望！志愿者招募！,https://www.douban.com/event/32359324/,免费,2019-08-07T10:00:00,76
beijing,北京,智能科技创未来2019北京科博会,https://www.douban.com/event/30570729/,免费,2019-10-24T09:00:00,43
beijing,北京,2019中国（北京）虚拟现实VR/AR展览会,https://www.douban.com/event/30738797/,免费,2019-10-24T09:30:00,47
beijing,北京,【国庆出行】张家界｜凤凰古城 天门山-金鞭溪-十里画廊-袁家界,https://www.douban.com/event/32713779/,100元(预付款),2019-08-24T08:00:00,56
beijing,北京,【国庆十一】阿尔山·长白山赏”双“天池美景，红叶谷,https://www.douban.com/event/32713798/,100元(预付款),2019-08-24T08:00:00,56
beijing,北京,免费！！！鲍叔读书会！,https://www.douban.com/event/31552828/,免费,2019-08-15T14:00:00,40
beijing,北京,「慢半拍跑步&网球社团」全城招募跑步网球爱好者~跑向美好，网罗快乐,https://www.douban.com/event/32359276/,免费,2019-06-15T16:00:00,121
beijing,北京,周六日悬疑推理爱好者观影沙龙,https://www.douban.com/event/32376877/,免费,2019-09-01T10:00:00,27
beijing,北京,心灵的畅想——梵高艺术沉浸式体验【DM】,https://www.douban.com/event/32610448/,80 - 84元,2019-07-27T09:00:00,13
